"County 
code",County name,"Municipal 
code",Municipality name,"Locality 
code",Locality reference
01,Stockholm,0114,Upplands Väsby,0114TB103,Löwenströmska lasarettet
01,Stockholm,0114,Upplands Väsby,0114TB107,Båtbyggartorp och Harva
01,Stockholm,0115,Vallentuna,0115TB101,Brottby
01,Stockholm,0115,Vallentuna,0115TB102,"Ekskogen, Älgeby och Långsjötorp"
01,Stockholm,0115,Vallentuna,0115TB103,Ekskogen
01,Stockholm,0115,Vallentuna,0115TB104,Johannesudd
01,Stockholm,0115,Vallentuna,0115TB105,Karby
01,Stockholm,0115,Vallentuna,0115TB106,Kårsta
01,Stockholm,0115,Vallentuna,0115TB107,Lindholmen
01,Stockholm,0115,Vallentuna,0115TC108,Vallentuna
01,Stockholm,0117,Österåker,0117TB101,Bammarboda
01,Stockholm,0117,Österåker,0117TB104,Laggarsvik och Linanäs
01,Stockholm,0117,Österåker,0117TB105,Täljö
01,Stockholm,0117,Österåker,0117TB106,Rydbo
01,Stockholm,0117,Österåker,0117TB107,Solberga
01,Stockholm,0117,Österåker,0117TB108,Nyhagen och Översättra
01,Stockholm,0117,Österåker,0117TB109,Stava
01,Stockholm,0117,Österåker,0117TB110,Nolsjö och Mellansjö
01,Stockholm,0117,Österåker,0117TB111,Svinninge
01,Stockholm,0117,Österåker,0117TB113,Spånlöt
01,Stockholm,0117,Österåker,0117TB154,Näs*
01,Stockholm,0117,Österåker,0117TC112,Åkersberga
01,Stockholm,0120,Värmdö,0120TB101,Björnömalmen och Klacknäset
01,Stockholm,0120,Värmdö,0120TB102,"Grönskan, Vedhamn och Baldersnäs"
01,Stockholm,0120,Värmdö,0120TB103,Brunn
01,Stockholm,0120,Värmdö,0120TB104,Betsede
01,Stockholm,0120,Värmdö,0120TB105,Djurö
01,Stockholm,0120,Värmdö,0120TB108,Fågelvikshöjden
01,Stockholm,0120,Värmdö,0120TB113,Norra Ingaröstrand och Skälsmara
01,Stockholm,0120,Värmdö,0120TB114,Kopparmora
01,Stockholm,0120,Värmdö,0120TB115,Långvik
01,Stockholm,0120,Värmdö,0120TB117,Norra Lagnö
01,Stockholm,0120,Värmdö,0120TB119,Lugnet och Skälsmara
01,Stockholm,0120,Värmdö,0120TB120,Stavsnäs
01,Stockholm,0120,Värmdö,0120TB121,Strömma
01,Stockholm,0120,Värmdö,0120TB123,Koviksudde och Skeviksstrand
01,Stockholm,0120,Värmdö,0120TB125,Ängsvik
01,Stockholm,0120,Värmdö,0120TB126,Älvsala
